,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.30158264280232605,0.046944994361341676,0.11773097937151915,0.03224699923117983,0.5213293265300235,R
1,0.7000026607938636,0.8014925544791538,0.43367025095574924,0.49507465120678235,0.9078753268234883,M
2,0.40467038363772306,0.5471730746576741,0.41986254596617056,0.08635619022199509,0.2432570304787995,R
3,0.17027773722513517,0.2815317113879848,0.2880069781535376,0.30448766272562444,0.5246494184406906,R
4,0.5192618348006098,0.4278073675367411,0.4152042604802261,0.20179553906682285,0.19144877492187157,R
5,0.6886724360478186,0.5182012030476852,0.943363417218037,0.5232476528891757,0.8358272092314152,M
6,0.45726481039452704,0.9355314542508733,0.5971468195119076,0.5041089247797428,0.6756743759428441,M
7,0.5407455578901772,0.5826516191119537,0.49017412846766156,0.7918214988195547,0.9688993166482682,M
8,0.174197975733986,0.053495314784810365,0.4053966797345354,0.2730411845469234,0.4437858831269665,R
9,0.6284142688564052,0.5543282582037872,0.8283007691606319,0.9360676015410283,0.9929104974555714,M
10,0.7697633021764003,0.7776531024742964,0.8409461864211782,0.9575071871618959,0.9429380429507914,M
11,0.47615146332058494,0.8348198565497349,0.7937717756510961,0.7144031082712585,0.7674204617277642,M
12,0.36613206416202154,0.12936938939057557,0.2251806381277891,0.2374379623664749,0.4969874595723875,R
13,0.6452536773552933,0.8058609976878357,0.9323738451300678,0.9515048133634796,0.959428343979011,M
14,0.5304327247531383,0.26586593140829834,0.025424477279273067,0.07168226230580421,0.19065518219901958,R
15,0.33477558803789853,0.34185757708767517,0.44094026173758333,0.390809547901608,0.49109189465089664,R
16,0.4132334165913944,0.5090683370077276,0.687447969890892,0.6171936468893829,0.5249165465996009,M
17,0.18448891107113705,0.2702914811895695,0.026325456887323063,0.22177690629247132,0.16549286878013103,R
18,0.4662691119964738,0.17541865207782914,0.23062250562048506,0.34983129741325547,0.3072072902247932,R
19,0.4850710116312067,0.9762326575905285,0.652843245117327,0.8415522024475774,0.5116420534325877,M
20,0.46121705439492844,0.7038126827743956,0.49657940074299356,0.8677345336681912,0.8913230912383382,M
21,0.39937956919419076,0.27382206144363763,0.2880027198214444,0.56827723637958,0.4472048505868698,R
22,0.5011657815299079,0.2769525231394644,0.22632615860852096,0.22083570610551753,0.5581571765194635,R
23,0.5039471318829023,0.4770787935631825,0.050600294049080244,0.4496005997281417,0.3245485397711548,R
24,0.815028879414827,0.703766792942309,0.8165322449694236,0.6591881318108885,0.7892224984289413,M
25,0.9212254883851236,0.7913308535379142,0.8301022981345654,0.4462037565834869,0.9989187698306115,M
26,0.37877525550379554,0.5739286103271976,0.14909490443016502,0.5414196453776966,0.34124138530670656,R
27,0.5333715854124497,0.8376142832318596,0.4480327420757009,0.5582985780101982,0.6555857040623692,M
28,0.15201666398606128,0.3793575395457784,0.48739945850419086,0.01700752299464488,0.35300259347531127,R
29,0.9246773997848414,0.9807505566917984,0.5045612951446397,0.861609518416287,0.8340899174182835,M
30,0.1962519809222918,0.4814190547189381,0.4824985937881608,0.24639630356984174,0.20873035338984344,R
31,0.13020406067315254,0.14789784154736152,0.41218323575914473,0.4380733833268865,0.2623988471604373,R
32,0.8947263113568595,0.9644608249959887,0.6410074541518636,0.8790647901188653,0.43332480214913544,M
33,0.8081938078876238,0.8516645767336817,0.7242940110692045,0.9318882148538259,0.41574376874978364,M
34,0.04267818421010317,0.2477268326100211,0.5648217649564725,0.2572121784359132,0.20769555053908187,R
35,0.7321028038763591,0.8722890760686939,0.8157967114215232,0.47840714858319167,0.8725182221086225,M
36,0.5991453264562548,0.7201331378197235,0.586278369288403,0.707752935274491,0.5764517363719681,M
37,0.06075498261689324,0.24853119600406648,0.2207640617168668,0.06685966150372248,0.3432850204311513,R
38,0.44055887677451705,0.3967453872023847,0.33881145339454766,0.2057790263663402,0.55474941260491,R
