,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.35348350561104736,0.11875866736272206,0.43486214020907527,0.5200570813759231,0.31962129513360293,R
1,0.7050018035339827,0.6891499219294603,0.6154968317838792,0.799798120014796,0.4881121540763187,M
2,0.6173822315319893,0.4950235525893124,0.49084521542436194,0.9320124423689027,0.915537945909636,M
3,0.7572929405316552,0.6962738745790589,0.8831890829172944,0.7394603159845943,0.422096366029765,M
4,0.7886954184590573,0.6874903245813564,0.6423082353895854,0.5523896532138721,0.8811317955319375,M
5,0.4498214201212721,0.683527238325499,0.6136242578542154,0.9975871887256222,0.5638568912927191,M
6,0.5429497328140991,0.7721551618174723,0.9931274027060166,0.6654963555945936,0.637507111425161,M
7,0.587558509084976,0.6763599552887173,0.45003749283603267,0.5507014370082384,0.7609328511582805,M
8,0.8543426307076667,0.7500298159262069,0.6116987273625041,0.6500715300127469,0.4391279348684211,M
9,0.8249514013146495,0.7646320288188315,0.9552897375558422,0.6797950283470804,0.8179216560708495,M
10,0.715026712350614,0.6792706956863328,0.9852707692397691,0.7401703125482333,0.7397141884118297,M
11,0.11439090725414845,0.4452477980674984,0.3360830924183149,0.1618863620977908,0.31890558726824714,R
12,0.1671385735330334,0.3974594707108751,0.408390213694795,0.3529816810601178,0.2720238630889276,R
13,0.8631295211415349,0.8195128989767194,0.8184436223507077,0.7233874652219562,0.510395544995624,M
14,0.4812754435790627,0.5482756311613042,0.6410346806894986,0.8827075883372584,0.8860535480757765,M
15,0.47490022839946516,0.37864610201879706,0.1822801699288282,0.09866356457368787,0.30644753544118203,R
16,0.5724363269245425,0.01495494544427128,0.5430539513429952,0.0036084061206660707,0.34842430447278344,R
17,0.15570610399970355,0.26755414480948914,0.2733565204786141,0.44734074094754095,0.38705868589347775,R
18,0.1971380892626163,0.04005902479328909,0.041600180915833465,0.41045660928361105,0.2852469539991257,R
19,0.5147114441237125,0.5288377241724869,0.5419584250639262,0.5872395992721854,0.5038320748342496,M
20,0.9065939145154114,0.7624178863065176,0.5125211805564329,0.4184954052882255,0.45757129596185436,M
21,0.23427034636851315,0.2280887456284627,0.11105254917576408,0.02751068836123305,0.19367057602297263,R
22,0.036728665095049545,0.17741589158760113,0.25653410373064317,0.451964315826183,0.39016393840766633,R
23,0.6688466228154393,0.9589735548859448,0.9736383276509579,0.45941346513198233,0.45025348257340453,M
24,0.16217718492023803,0.09212203796701561,0.33223138587722306,0.4780076696857944,0.03846885462243491,R
25,0.466678664132347,0.326958999756151,0.07020471049276363,0.2354611766876122,0.4102572089634265,R
26,0.41587657431061253,0.22191811194465869,0.4914311391135015,0.10790892750348227,0.4313380365476461,R
27,0.8692932887806786,0.6851992586075185,0.7607980605284262,0.5132743059739794,0.7895077981995402,M
28,0.82483996909187,0.9831949834408247,0.96702353407632,0.45160143181063084,0.7995803321502983,M
29,0.81626514187005,0.4425730304198984,0.6702228444258986,0.5908528601998801,0.8012835484475693,M
30,0.0741742472594226,0.4603103947712778,0.5401043102473286,0.4091252138804884,0.4853460835156055,R
31,0.2996090428717999,0.3181368174124864,0.2469726427909827,0.4180098732961149,0.08221320854505133,R
32,0.762052263894472,0.988281644186823,0.9654508320921613,0.7725328652532462,0.8903892309920015,M
33,0.06253521360833733,0.11563252750148198,0.09227275252115232,0.4149431140122578,0.31423406682768873,R
34,0.4995319181438222,0.9052217843675787,0.7256924916605183,0.5237305618219487,0.8962184752140256,M
35,0.20113040824447842,0.22731783367055516,0.016285319301156505,0.5643651763465068,0.15012975981925203,R
36,0.4772507784398272,0.5151500357153878,0.5645178656554223,0.30786220441789147,0.09219578904682718,R
37,0.522883891282074,0.270511044871807,0.5419243194442501,0.24605605910867823,0.4105326767048943,R
38,0.9565113097917026,0.6886598409265388,0.521302771725958,0.6617344147226236,0.7368444793446483,M
39,0.5304790679469179,0.8877364769505105,0.6823516816967026,0.9053563590792358,0.4558480433257124,M
40,0.6852079117166429,0.7641869789016014,0.5975562504054532,0.8715015653876559,0.6108472567963471,M
41,0.5173297801114595,0.485324019615501,0.36924536517659406,0.46264670566802424,0.38680685038304347,R
42,0.6121036180748343,0.7958438551524221,0.5131932388064431,0.43467556304128996,0.952840869788957,M
43,0.1431823752722505,0.008862784899461736,0.2671506303250343,0.5560497381956163,0.49962042012646235,R
44,0.5231162479526242,0.46388087315933063,0.5216354567379164,0.5049198699012549,0.5667617277646853,R
45,0.5095037406637398,0.3944598281769436,0.28001689436483035,0.36375620424565686,0.0014802789604857628,R
46,0.26363112178221737,0.10299640621527026,0.5513038428426162,0.15631583382764672,0.000263400034733231,R
47,0.43938755543457186,0.538328373815623,0.2007618229058652,0.5027215121946228,0.5707374433495581,R
48,0.4402502874784739,0.549151864872947,0.8549635429368463,0.48044591556130983,0.891534289537881,M
49,0.44303858793993034,0.7292429789982435,0.5709907896806107,0.8744576434558489,0.6175490577839088,M
50,0.6003940416601548,0.4538861553107454,0.9012528998234932,0.6735362558244145,0.9386416031305214,M
51,0.22826395254540358,0.2234754037837608,0.2578799355400581,0.4775682385527283,0.42452707978421456,R
52,0.9591248697841446,0.6558198833783848,0.6703382451856099,0.9758997504907105,0.8755309276606822,M
53,0.6165939544201803,0.621657473516781,0.7733202807796749,0.4265737375832849,0.6653378730373505,M
54,0.04053771228952735,0.28399545955237915,0.4017133191124037,0.3612156379795888,0.20071547427035819,R
55,0.9554058775689556,0.8180419561959571,0.6397084810114404,0.8967329740278874,0.4495126826908302,M
56,0.2584725711590376,0.16329194308803208,0.06716167764246936,0.34035262765413227,0.07035244304621867,R
